21,Maharashtra,"5.5 (4.7,6.3)","6.2 (5.2,7.3)","5.8 (4.7,7)","30.2 (22.9,37.5)","34.1 (25.5,42.6)","33.5 (24.1,42.9)"
22,Manipur,"13.8 (11.7,16)","6.7 (4.7,8.7)","5.4 (4,6.9)","39.6 (31.4,47.9)","34.6 (20,49.2)","39 (26,52)"
23,Meghalaya,"3 (1.8,4.2)","3 (1.5,4.6)","0.9 (0.3,1.6)","15.9 (1.7,30)","46.3 (20,72.6)","50.6 (14.9,86.3)"
24,Mizoram,"0 (0,0)","0 (0,0)","0.1 (-0.1,0.4)","0 (0,0)","0 (0,0)","0 (0,0)"
25,Nagaland,"0.3 (-0.1,0.8)","0.1 (-0.1,0.2)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
26,Odisha,"8.4 (7.2,9.5)","19.7 (17.6,21.8)","18.8 (16.8,20.8)","43.4 (36.2,50.7)","45.7 (39.8,51.6)","39.4 (33.8,44.9)"
27,Puducherry,"10.3 (4.2,16.4)","6.5 (-0.9,13.8)","2.1 (-0.1,4.3)","43.2 (11.9,74.5)","8.6 (-9.7,26.9)","27.1 (-7,61.2)"
28,Punjab,"12.7 (10.6,14.7)","7 (4.8,9.1)","9.7 (7.4,12)","35.9 (27.5,44.2)","47.9 (32,63.9)","33.3 (22.1,44.5)"
29,Rajasthan,"2.5 (1.9,3.1)","2.8 (2,3.6)","3 (2.3,3.8)","13.1 (5,21.2)","33.9 (20.8,47)","30 (17.8,42.1)"
30,Sikkim,"0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
31,Tamil Nadu,"6.8 (5.7,7.8)","11 (9.2,12.8)","14.4 (12.1,16.6)","45.8 (37.7,53.9)","36.4 (28.1,44.7)","46.2 (37.9,54.6)"
32,Tripura,"5 (3.8,6.3)","8.2 (5.8,10.6)","14.2 (11.5,16.8)","31.6 (19.7,43.5)","30.5 (17.1,44)","31.4 (22.2,40.6)"
33,Uttar Pradesh,"8 (7.4,8.6)","11.9 (10.8,12.9)","15 (13.9,16.1)","26.2 (22.5,29.8)","32.9 (28.6,37.2)","36.6 (32.7,40.6)"
34,Uttarakhand,"3.6 (2.2,5.1)","2.4 (0.6,4.2)","4.4 (2.9,6)","20 (4,35.9)","37.8 (-0.4,76)","43.7 (25.9,61.6)"
35,West Bengal,"12.2 (11.1,13.3)","15.9 (14.2,17.7)","28.7 (26.6,30.9)","36 (31.3,40.7)","48.8 (42.8,54.8)","48.1 (43.7,52.5)"
